task_index,source,split,condition,both_success,native_only,best_only,both_fail,best_minus_native
0,libero_10/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_demo,train,normal,4,0,0,0,0.0
1,libero_10/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_demo,validation,normal,2,2,0,0,-0.5
2,libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_demo,test,normal,2,1,1,0,0.0
3,libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_demo,test,normal,2,1,1,0,0.0
4,libero_10/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_demo,train,normal,4,0,0,0,0.0
5,libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_demo,validation,normal,3,0,1,0,0.25
6,libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_demo,validation,normal,4,0,0,0,0.0
7,libero_10/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate_demo,train,normal,3,1,0,0,-0.25
8,libero_10/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate_demo,train,normal,3,0,1,0,0.25
9,libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo,test,normal,3,0,1,0,0.25
10,libero_goal/open_the_middle_drawer_of_the_cabinet_demo,train,normal,3,1,0,0,-0.25
11,libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo,train,normal,3,1,0,0,-0.25
12,libero_goal/push_the_plate_to_the_front_of_the_stove_demo,train,normal,4,0,0,0,0.0
13,libero_goal/put_the_bowl_on_the_plate_demo,train,normal,4,0,0,0,0.0
14,libero_goal/put_the_bowl_on_the_stove_demo,train,normal,4,0,0,0,0.0
15,libero_goal/put_the_bowl_on_top_of_the_cabinet_demo,train,normal,4,0,0,0,0.0
16,libero_goal/put_the_cream_cheese_in_the_bowl_demo,train,normal,4,0,0,0,0.0
17,libero_goal/put_the_wine_bottle_on_the_rack_demo,train,normal,4,0,0,0,0.0
